Frame Number,Moving Density,Queue Density
1,0,0
2,39,4412
3,29,4439
4,1,4776
5,12,4589
6,0,4779
7,0,4751
8,52,4673
9,44,4656
10,7,4672
11,7,4621
12,2,4903
13,23,4532
14,17,4452
15,95,4455
16,48,4440
17,3,4435
18,53,4452
19,1,4877
20,17,4421
21,73,4435
22,6,4478
23,58,4482
24,92,4495
25,24,4515
26,15,4479
27,74,4457
28,12,4460
29,22,4475
30,21,4483
31,18,4917
32,27,4448
33,2,4434
34,28,4447
35,15,4461
36,14,4453
37,28,4471
38,26,4461
39,50,4459
40,39,4460
41,47,4664
42,60,4493
43,36,4520
44,2,4524
45,54,4522
46,31,4543
47,14,4550
48,35,4577
49,19,4562
50,16,4586
51,3,4586
52,42,4595
53,30,4600
54,1,4597
55,85,4894
56,57,4620
57,1,4625
58,73,4625
59,133,4917
60,0,4623
61,60,4625
62,71,4643
63,0,4645
64,69,4633
65,66,4635
66,0,4642
67,103,4879
68,75,4636
69,0,4628
70,42,4620
71,64,4618
72,0,4616
73,60,4622
74,28,4604
75,0,4606
76,5,4872
77,11,4613
78,0,4624
79,0,4637
80,9,4636
81,0,4652
82,19,5209
83,35,4687
84,7,4717
85,22,4746
86,0,5211
87,26,4721
88,37,4759
89,28,4714
90,28,4693
91,2,5177
92,2,4586
93,4,4575
94,48,4573
95,31,4606
96,64,4647
97,33,4871
98,53,4676
99,46,4670
100,65,4673
101,72,4682
102,26,4686
103,72,4677
104,44,4674
105,32,4692
106,45,4703
107,34,4787
108,87,4791
109,52,4864
110,80,4924
111,50,4943
112,65,4974
113,49,4991
114,80,5000
115,145,5348
116,153,5027
117,29,5422
118,121,5175
119,94,5079
120,92,5095
121,102,5065
122,116,5033
123,55,5003
124,267,5227
125,97,4928
126,36,4942
127,88,4877
128,128,4835
129,6,4822
130,140,4823
131,61,4807
132,0,4804
133,68,4822
134,80,4828
135,2,4834
136,109,5460
137,59,5465
138,0,4829
139,66,4805
140,71,4805
141,0,4825
142,72,4861
143,66,4888
144,0,4894
145,73,5299
146,70,4868
147,0,4866
148,25,4218
149,12,5212
150,0,4814
151,0,4803
152,3,4773
153,0,4997
154,1,4750
155,4,4755
156,0,4752
157,2,4769
158,1,4746
159,0,4744
160,0,4744
161,7,4737
162,0,4729
163,0,4735
164,0,4732
165,0,5079
166,1,4728
167,0,5218
168,0,4755
169,0,4749
170,1,4698
171,0,4691
172,0,5161
173,6,4650
174,0,4640
175,0,4648
176,1,4631
177,0,4639
178,0,4645
179,0,4645
180,0,4658
181,0,5144
182,0,5172
183,0,4697
184,0,4683
185,12,4700
186,0,5164
187,2,5170
188,0,4696
189,0,5194
190,0,4699
191,0,4695
192,0,4699
193,0,4703
194,0,4707
195,0,5195
196,0,4707
197,0,5002
198,0,5215
199,0,4710
200,0,4715
201,0,4711
202,0,4997
203,0,4721
204,0,4732
205,0,4732
206,1,4717
207,0,4713
208,0,4707
209,0,4705
210,0,4707
211,0,5219
212,0,4709
213,0,4989
214,0,4696
215,0,4697
216,0,4691
217,0,4687
218,0,4682
219,0,4680
220,0,4677
221,0,5167
222,1,4965
223,0,4671
224,0,4681
225,0,4689
226,0,4681
227,0,4685
228,0,4687
229,0,4685
230,0,4683
231,0,4685
232,0,4691
233,0,4701
234,0,4984
235,3,4705
236,0,4708
237,0,5239
238,0,4719
239,0,4711
240,0,4991
241,4,4682
242,1,4678
243,0,4675
244,0,4680
245,0,4679
246,0,4670
247,0,4677
248,0,4682
249,0,4688
250,0,5170
251,0,4686
252,0,4686
253,0,4689
254,0,4694
255,0,4981
256,0,4695
257,0,4681
258,0,4972
259,0,4690
260,0,4980
261,0,5237
262,0,4688
263,0,4684
264,0,4689
265,0,4688
266,0,4686
267,0,4692
268,0,4689
269,0,4694
270,0,4664
271,0,5140
272,0,4661
273,0,4654
274,0,4653
275,0,4945
276,0,4664
277,0,4664
278,0,4664
279,0,4664
280,0,4653
281,0,4660
282,0,4659
283,0,5149
284,0,5200
285,0,4948
286,0,4655
287,0,4659
288,0,4665
289,0,4965
290,0,4681
291,0,5169
292,0,4684
293,0,4683
294,0,4685
295,1,4691
296,0,4693
297,0,4687
298,0,4690
299,0,4702
300,0,4702
301,0,4698
302,0,4703
303,0,4694
304,0,5204
305,0,4995
306,0,4713
307,0,4709
308,0,4711
309,0,4716
310,0,5031
311,0,4715
312,0,5211
313,0,4724
314,0,4718
315,0,4715
316,0,4718
317,0,4999
318,0,4717
319,1,4705
320,6,4668
321,0,4673
322,0,4676
323,0,4677
324,0,4967
325,0,4692
326,0,4687
327,0,4696
328,0,4709
329,0,4705
330,0,4955
331,0,4715
332,0,4712
333,0,4713
334,0,4711
335,0,4717
336,0,4722
337,0,4723
338,0,4719
339,0,4716
340,0,4735
341,0,4753
342,4,4763
343,0,4761
344,3,4754
345,8,4717
346,1,4737
347,0,4735
348,0,4740
349,0,4745
350,0,4725
351,0,4722
352,0,4713
353,0,4983
354,0,4937
355,0,4702
356,5,4720
357,19,4732
358,8,4746
359,4,4745
360,12,4750
361,24,4746
