Frame Number,Moving Density,Queue Density
1,0,0
2,9,5430
3,33,4624
4,28,4491
5,3,5389
6,65,4685
7,0,5384
8,17,4855
9,100,4798
10,12,5089
11,26,4708
12,62,4754
13,26,4929
14,17,4621
15,0,5324
16,0,5322
17,5,4589
18,65,4845
19,0,5309
20,0,5335
21,0,5337
22,4,4643
23,33,4658
24,93,4856
25,22,4672
26,13,4649
27,74,4823
28,14,4633
29,28,4866
30,25,4656
31,43,4663
32,0,5322
33,0,4605
34,36,4829
35,9,4816
36,14,4624
37,36,4659
38,0,5354
39,45,4656
40,63,4647
41,66,4654
42,59,4682
43,0,5366
44,0,5379
45,54,4716
46,0,5359
47,0,5366
48,40,4753
49,13,4754
50,11,4770
51,4,4778
52,30,4780
53,44,4785
54,3,4775
55,53,4780
56,60,4807
57,2,4789
58,0,4892
59,0,5357
60,0,4787
61,65,4797
62,72,4806
63,0,4809
64,71,4808
65,0,4468
66,0,4823
67,0,4909
68,71,4810
69,0,4801
70,49,4784
71,67,4798
72,0,4801
73,0,4905
74,36,4810
75,0,4907
76,0,5358
77,9,4808
78,0,4807
79,0,4820
80,9,4831
81,0,4813
82,28,4830
83,36,4853
84,7,4882
85,23,4905
86,28,4888
87,26,4894
88,40,4941
89,18,4900
90,0,4470
91,11,4784
92,5,4746
93,17,4736
94,48,4719
95,30,4725
96,39,4768
97,33,4764
98,46,4811
99,48,4817
100,44,3207
101,70,4838
102,37,4836
103,66,4823
104,44,4811
105,4,4873
106,36,4875
107,59,4921
108,88,4931
109,37,4993
110,92,5030
111,81,5074
112,42,4785
113,43,5129
114,194,4857
115,110,5150
116,72,5104
117,93,5196
118,107,5198
119,99,5199
120,106,5245
121,99,5195
122,143,5158
123,69,5128
124,117,5112
125,95,5054
126,0,5325
127,22,4983
128,149,4984
129,7,4962
130,48,4978
131,82,4972
132,1,4947
133,67,4960
134,71,5002
135,1,4994
136,3,5321
137,3,5021
138,0,5337
139,62,4956
140,65,4956
141,0,4970
142,101,4997
143,76,5009
144,0,4998
145,54,5012
146,74,5003
147,0,5016
148,0,5335
149,9,4985
150,0,5340
151,0,4964
152,3,4955
153,0,4946
154,0,4908
155,7,4919
156,1,4921
157,0,4919
158,2,4932
159,0,4902
160,1,4909
161,4,4890
162,0,4556
163,5,4904
164,0,4903
165,0,4897
166,0,4882
167,0,4915
168,0,4902
169,2,4871
170,0,3933
171,0,4840
172,0,5300
173,5,4825
174,0,4882
175,0,4834
176,3,4817
177,0,4820
178,0,4882
179,0,4878
180,0,4889
181,5,4911
182,0,4864
183,0,4855
184,0,4865
185,10,4869
186,0,4853
187,0,4875
188,0,4564
189,0,4879
190,0,5314
191,0,4930
192,0,4866
193,0,4874
194,0,4547
195,0,4934
196,0,5333
197,0,4948
198,0,4868
199,0,4879
200,0,4883
201,0,5323
202,0,4892
203,0,4892
204,0,5314
205,0,4965
206,0,4897
207,0,4949
208,0,4894
209,0,4949
210,0,4887
211,0,4900
212,0,4892
213,0,4894
214,0,5307
215,0,4882
216,0,4935
217,0,4874
218,0,4870
219,0,4866
220,0,4860
221,0,4860
222,2,4523
223,0,4847
224,0,4917
225,0,4859
226,0,4855
227,0,4923
228,0,5308
229,0,4858
230,0,4851
231,0,5309
232,0,4853
233,0,5316
234,0,4863
235,4,4863
236,0,4869
237,0,5319
238,0,4928
239,0,4925
240,0,5316
241,4,4840
242,0,5318
243,0,4842
244,0,4847
245,0,4843
246,0,4889
247,0,5299
248,0,4857
249,0,4847
250,0,5279
251,0,5296
252,0,4845
253,0,5308
254,0,4849
255,0,4894
256,0,4890
257,0,5294
258,0,4490
259,0,4895
260,0,4486
261,0,4844
262,0,4844
