Frame Number,Moving Density,Queue Density
1,0,0
2,607,4578
3,462,4624
4,1702,5413
5,38,4753
6,858,4797
7,1,4804
8,1613,5403
9,39,4850
10,14,5364
11,865,5013
12,1378,4754
13,975,5332
14,39,4621
15,20,5324
16,1421,4606
17,570,4818
18,1290,4614
19,7,4847
20,0,3953
21,23,5337
22,1558,4840
23,1573,4658
24,1388,4856
25,1662,4361
26,20,4833
27,1310,4823
28,1459,4633
29,3,4663
30,0,5339
31,38,4663
32,1652,4809
33,6,4605
34,14,5341
35,1297,4606
36,0,4318
37,1319,4659
38,24,5354
39,0,4164
40,0,5364
41,1253,4306
42,0,4682
43,1157,3974
44,0,5379
45,1530,4716
46,2,4730
47,1154,4746
48,1110,4753
49,1151,4754
50,6,4914
51,857,4449
52,1024,4432
53,0,4785
54,23,4775
55,205,4436
56,0,4807
57,0,4898
58,0,4788
59,822,4785
60,2,4787
61,0,4797
62,0,4899
63,0,4809
64,13,4808
65,489,4812
66,9,4823
67,307,4819
68,0,4904
69,0,4801
70,0,4416
71,16,4889
72,12,3516
73,43,4905
74,0,4810
75,30,4907
76,6,4444
77,3,3881
78,901,4807
79,563,4820
80,133,4831
81,125,4813
82,1,4898
83,49,5343
84,138,5329
85,333,3713
86,317,4888
87,200,4896
88,174,4941
89,0,4895
90,38,4470
91,184,4895
92,490,4746
93,93,4893
94,140,4719
95,2178,4725
96,417,4768
97,608,4764
98,512,4811
99,77,4866
100,29,4829
101,728,4838
102,575,4836
103,139,4867
104,19,4811
105,520,4838
106,234,4837
107,82,5362
108,229,4931
109,872,4985
110,976,5339
111,527,5074
112,0,5341
113,120,5092
114,7,5339
115,4,5333
116,854,5329
117,62,5339
118,107,5198
119,0,5128
120,1311,5245
121,117,5195
122,1,5158
123,465,5128
124,0,4794
125,389,5054
126,672,5325
127,1103,5010
128,755,4966
129,189,4962
130,0,4976
131,1089,4971
132,0,5333
133,1179,4960
134,1421,4986
135,79,4994
136,1198,5013
137,1759,5019
138,0,5337
139,3,4949
140,0,5313
141,0,4967
142,803,5334
143,776,5024
144,1637,5021
145,2427,5013
146,87,5343
147,38,5011
148,717,4996
149,477,4985
150,436,5340
151,0,5325
152,1292,4928
153,309,3756
154,0,3922
155,0,5309
156,408,5312
157,521,4919
158,445,5309
159,0,4931
160,0,4878
161,1326,4890
162,826,4896
163,190,4904
164,1540,4877
165,1117,4897
166,245,3533
167,1334,4883
168,306,5280
169,439,4871
170,0,4857
171,860,4475
172,0,5300
173,555,4825
174,876,4815
175,17,5310
176,330,4817
177,1119,4893
178,0,5302
179,1144,4816
180,493,4828
181,1124,4857
182,175,4864
183,0,5313
184,1339,4865
185,1265,4869
186,168,4913
187,848,4875
188,0,5318
189,384,4879
190,816,4866
191,838,4930
192,50,4866
193,389,4874
194,0,5311
195,968,4538
196,53,3933
197,592,4948
198,103,4868
199,0,4879
200,720,4883
201,17,5323
202,28,5318
203,46,4951
204,484,4586
205,583,4910
206,34,4951
207,542,4949
208,16,4950
209,0,4895
210,333,4887
211,31,5306
212,0,5307
