Frame Number,Moving Density,Queue Density
1,0,0
2,39,4412
3,30,4439
4781,0,0
4,12,4530
4782,0,4310
5,17,4589
3825,0,0
4783,1,4277
6,19,4622
3826,0,5475
1913,0,0
7,7,4624
4784,2,4239
2869,0,0
957,0,0
3827,0,5475
4785,0,4232
2870,0,4572
958,0,4846
1914,203,3727
8,14,4673
3828,0,5471
4786,2,4197
2871,1,4577
959,0,4845
9,43,4656
1915,125,3804
3829,0,5478
4787,0,4195
1916,154,3811
2872,0,4572
10,6,4672
960,0,4857
4788,0,4202
3830,0,5474
1917,275,3798
11,7,4621
2873,0,4568
4789,0,4209
961,0,4873
1918,104,3828
3831,0,5480
12,34,4579
4790,0,4210
2874,0,4558
1919,103,3801
962,0,4878
13,17,4532
4791,0,4206
3832,0,5479
2875,0,4568
1920,197,3749
963,0,4881
14,15,4452
4792,0,4209
3833,0,5480
2876,0,4579
1921,64,3733
964,0,4881
15,97,4455
4793,0,4215
3834,0,5485
2877,0,4571
1922,54,3714
965,0,4868
4794,0,4212
16,46,4440
3835,0,5486
2878,0,4583
1923,157,3758
966,0,4864
4795,0,4232
3836,0,5485
17,3,4435
1924,48,3648
2879,2,4568
967,0,4881
18,51,4452
4796,0,4233
3837,0,5488
1925,58,3582
968,0,4887
2880,1,4586
19,1,4466
3838,0,5487
1926,132,3627
4797,0,4233
969,0,4888
20,8,4421
2881,4,4581
3839,0,5482
1927,72,3733
970,0,4892
21,87,4435
4798,0,4232
3840,0,5487
1928,75,3765
971,0,4879
22,5,4478
2882,1,4604
4799,0,4228
3841,0,5492
1929,170,3762
972,0,4888
23,28,4482
3842,0,5491
2883,0,4594
973,1,4891
4800,0,4230
1930,33,3755
24,98,4495
3843,2,5459
2884,2,4603
974,0,4884
4801,0,4231
1931,42,3867
25,26,4515
3844,0,5465
2885,2,4595
975,0,4890
4802,0,4231
26,13,4479
1932,125,3898
3845,0,5470
2886,19,4589
4803,0,4231
27,65,4457
3846,0,5469
976,0,4875
2887,43,4597
4804,0,4236
1933,8,3900
28,10,4460
3847,0,5474
4805,0,4230
977,0,4885
2888,6,4605
29,20,4475
1934,37,3914
3848,0,5473
4806,0,4232
978,0,4895
2889,4,4606
3849,0,5484
30,23,4483
4807,0,4235
1935,113,3915
979,0,4868
2890,44,4600
3850,0,5496
4808,0,4235
31,29,4499
980,0,4875
2891,25,4605
1936,9,3947
3851,0,5490
4809,0,4241
981,0,4872
2892,26,4603
32,22,4448
3852,0,5493
1937,25,3939
4810,0,4242
982,0,4880
2893,56,4605
33,0,4434
3853,0,5501
1938,145,3946
4811,0,4245
983,0,4878
1939,38,3967
2894,17,4613
34,36,4447
3854,0,5498
984,0,4867
4812,0,4239
1940,16,3916
35,27,4461
985,0,4873
2895,10,4585
3855,0,5498
1941,38,3929
4813,0,4238
36,14,4453
986,0,4893
1942,0,3857
2896,69,4594
3856,0,5501
987,0,4895
4814,0,4245
1943,15,3833
37,31,4471
2897,30,4593
3857,0,5491
4815,0,4246
988,0,4883
38,26,4461
1944,6,3890
2898,17,4593
3858,0,5481
4816,0,4249
1945,42,3932
39,44,4459
989,0,4874
3859,0,5489
2899,58,4593
4817,0,4250
1946,43,4005
40,56,4460
990,0,4877
3860,0,5481
4818,0,4257
1947,10,4032
2900,16,4575
41,62,4467
3861,0,5488
4819,0,4256
991,0,4882
1948,42,4169
42,59,4493
2901,11,4561
3862,0,5496
4820,0,4277
1949,19,4244
992,0,4883
43,30,4520
2902,4,4572
3863,0,5500
4821,0,4278
993,0,4885
1950,9,4315
44,2,4524
3864,0,5498
4822,0,4273
2903,20,4573
994,0,4876
45,54,4522
4823,0,4274
1951,14,4320
2904,12,4572
995,0,4880
3865,0,5495
46,29,4543
4824,0,4283
2905,0,4570
1952,20,4340
996,0,4883
3866,0,5493
47,13,4550
4825,0,4276
2906,20,4576
1953,4,4336
997,0,4887
3867,0,5500
48,45,4577
2907,12,4589
1954,14,4312
998,0,4884
4826,0,4280
3868,0,5447
1955,26,4323
2908,0,4582
999,0,4885
49,12,4562
3869,0,5456
4827,0,4276
1956,4,4332
2909,3,4582
1000,0,4887
3870,0,5446
1957,1,4300
50,11,4586
4828,0,4284
1001,0,4891
2910,25,4591
3871,0,5455
1958,4,4286
1002,0,4902
51,3,4586
4829,0,4279
2911,0,4604
3872,0,5465
1959,3,4278
1003,0,4904
2912,20,4587
52,30,4595
1960,6,4224
3873,0,5451
4830,0,4280
1004,0,4859
2913,17,4585
53,44,4600
1961,0,4193
4831,0,4279
3874,0,5458
1005,0,4863
2914,0,4587
54,3,4597
4832,0,4273
3875,0,5466
1006,0,4876
1962,0,4195
55,54,4599
3876,0,5471
4833,0,4275
1963,0,4191
2915,11,4589
1007,0,4877
56,59,4620
3877,0,5458
4834,0,4291
1964,0,4189
1008,0,4879
2916,13,4602
57,1,4625
3878,0,5456
4835,0,4288
1965,0,4186
1009,0,4872
2917,0,4592
58,75,4625
3879,0,5466
4836,0,4278
1966,0,4182
1010,1,4837
2918,6,4578
59,80,4636
3880,0,5467
