Frame Number,Moving Density,Queue Density
1,0,0
2,39,4429
3,10,4641
4,11,4544
5,24,4603
6,16,4617
7,37,4646
8,17,4684
9,42,4671
10,7,4678
11,11,4641
12,14,4591
13,11,4537
14,16,4461
15,66,4464
16,44,4441
17,5,4455
18,23,4453
19,17,4777
20,8,4452
21,59,4468
22,14,4510
23,25,4516
24,96,4521
25,37,4551
26,24,4844
27,74,4509
28,20,4506
29,27,4518
30,25,4530
31,29,4530
32,36,4495
33,0,4826
34,60,4789
35,36,4489
36,15,4492
37,23,4506
38,55,4498
39,45,4504
40,61,4501
41,112,4826
42,60,4523
43,30,4553
44,11,4553
45,55,4551
46,36,4555
47,32,4580
48,34,4578
49,30,4561
50,39,4587
51,1,4589
52,32,4600
53,45,4615
54,3,4611
55,56,4630
56,60,4636
57,1,4925
58,79,4651
59,90,4659
60,0,4671
61,72,4653
62,77,4663
63,0,4675
64,71,4664
65,66,4660
66,1,4677
67,62,4672
68,57,4682
69,0,4676
70,52,4647
71,61,4632
72,0,4641
73,59,4640
74,37,4635
75,0,4638
76,11,5125
77,9,4654
78,0,4660
79,0,4665
80,8,4978
81,0,4681
82,28,4683
83,0,5177
84,7,4735
85,0,5011
86,0,5154
87,26,4742
88,43,4781
89,34,4735
90,12,4711
91,14,4667
92,3,4600
93,13,4590
94,49,4580
95,53,4599
96,33,4639
97,64,4660
98,43,4667
99,41,4686
100,77,4677
101,73,4681
102,29,5165
103,57,4694
104,54,4695
105,30,4698
106,39,4710
107,58,4779
108,82,4813
109,46,4868
110,109,4918
111,87,5115
112,74,4976
113,68,5017
114,50,5015
115,94,5036
116,111,5167
117,43,5336
118,104,5074
119,118,5083
120,92,5118
121,108,5069
122,130,5044
123,18,5025
124,122,4961
125,91,5423
126,39,4926
127,104,4877
128,194,5228
129,2,4847
130,141,5242
131,72,4808
132,0,4802
133,51,4825
134,76,4856
135,2,4865
136,65,4887
137,73,4871
138,0,4880
139,76,4854
140,57,4826
141,0,5758
142,166,5173
143,77,4889
144,2,4894
145,85,5351
146,81,4868
147,0,5124
148,27,4850
149,4,4839
150,0,4824
151,3,4829
152,3,4807
153,0,4809
154,2,4793
155,4,4778
156,1,4777
157,2,5190
158,1,4747
159,0,4756
160,2,4763
161,5,4747
162,0,4746
163,0,4763
164,0,4760
165,0,4757
166,1,4772
167,0,4758
168,0,4774
169,0,4756
170,3,4708
171,0,5110
172,0,4700
173,6,4663
174,0,5036
175,0,4647
176,1,4658
177,0,4648
178,1,4681
179,0,4676
180,0,4686
181,2,5152
182,0,4719
183,0,5126
184,0,5117
185,12,5180
186,0,4739
187,0,4725
188,0,5134
189,0,5142
190,0,4746
191,0,4739
192,0,4739
193,0,4731
194,0,4736
195,0,4709
196,0,4726
197,0,5136
198,0,4740
199,0,5152
200,0,4739
201,0,4737
202,0,5166
203,0,4753
204,0,5197
205,0,4756
206,1,4731
207,0,4736
208,0,5165
209,0,4740
210,0,4739
211,0,4742
212,0,4740
213,0,4735
214,0,4731
215,0,4728
216,0,4731
217,0,4731
218,0,5142
219,0,4964
220,0,4700
221,0,4697
222,0,5116
223,0,4697
224,0,4709
225,0,4713
226,0,4703
227,0,4701
228,0,4696
229,0,5121
230,0,4700
231,0,4710
232,0,4713
233,0,4725
234,0,4716
235,0,4723
236,0,4724
237,0,4735
238,0,4740
239,0,4719
240,0,5131
241,0,4697
242,0,5091
243,0,4691
244,0,4696
245,0,4690
246,0,4682
247,0,4689
248,0,4700
249,0,4706
250,0,4707
251,0,4932
252,0,4696
253,0,4701
254,0,5095
255,0,5094
256,0,5096
257,0,5093
258,0,4701
259,0,4702
260,0,5139
261,0,5141
262,0,4710
263,0,5104
264,0,4710
265,0,4712
266,0,4708
267,0,5117
268,0,4710
269,0,5114
270,0,4692
271,0,4697
272,0,4694
273,0,5072
274,0,4690
275,0,4701
276,0,4702
277,0,4957
278,0,4709
279,0,5146
280,0,5098
281,0,4698
282,0,4692
283,0,4692
284,0,4691
285,5,4687
286,0,5093
287,0,4697
288,0,5152
289,0,5153
290,0,4710
291,0,4710
292,0,4717
293,0,5152
294,0,4720
295,1,4712
296,0,4718
297,0,4962
298,0,4712
299,0,4721
300,0,4727
301,0,4726
302,0,4723
303,0,4722
304,0,4733
305,0,4735
306,0,4737
307,0,4738
308,0,4741
309,0,4749
310,0,4754
311,0,4763
312,0,4751
313,0,4758
314,0,4756
315,0,5167
316,0,4750
317,0,4743
318,0,4751
319,2,5136
320,8,5107
321,0,4721
322,0,4719
323,0,4718
324,0,4726
325,0,4723
326,0,4724
327,0,4733
328,0,4753
329,0,5173
330,0,4748
331,0,5180
332,0,4758
333,0,4760
334,0,4753
335,0,4756
336,0,4757
337,0,5171
338,0,5179
339,0,4750
340,0,4765
341,0,4782
342,4,4796
343,0,5196
344,3,4785
345,11,4738
346,0,5144
347,0,5164
348,0,5167
349,0,5162
350,0,5153
351,0,4745
352,0,4733
353,0,4724
354,4,4713
355,0,4721
356,0,4748
357,25,4748
358,7,4771
359,7,4771
360,9,5202
361,40,4782
362,42,5226
363,1,4794
364,20,4807
365,25,4800
366,2,4805
367,62,5236
368,110,5118
369,2,5223
370,93,4786
371,74,4797
372,0,4800
373,57,4804
374,62,4807
375,0,4812
376,85,5219
377,73,4810
378,0,4802
379,61,4802
380,20,5259
381,0,5207
382,6,4792
383,3,5242
384,0,4790
385,4,4782
386,3,4774
387,12,4775
388,0,4787
389,3,4786
390,0,5070
391,0,4804
392,11,4805
393,0,5642
394,3,4828
395,7,5271
396,37,4796
397,22,4802
398,14,4805
399,64,4800
400,41,4803
401,57,4793
402,78,4798
403,44,4796
404,45,4795
405,71,5274
406,51,4778
407,64,4761
408,49,4750
409,37,4743
410,29,4741
411,50,4760
412,18,4749
413,35,4767
414,28,4771
415,31,4751
416,57,4756
417,18,4781
418,72,5257
419,45,4767
420,27,4776
421,52,4793
422,72,4795
423,66,4798
424,71,4775
425,62,4774
426,58,4782
427,102,4771
428,145,4785
429,68,4779
430,81,5121
431,85,4726
432,82,4725
433,116,4745
434,146,4732
435,32,4736
436,122,4691
437,127,4670
438,27,4668
439,152,5054
440,99,4678
441,17,4681
442,87,5056
443,123,4660
444,10,4659
445,87,4570
446,179,4558
447,2,4557
448,177,4551
449,182,4954
450,6,4535
451,201,4507
452,175,4772
453,0,4522
454,173,4766
455,161,4480
456,0,4486
457,91,4474
458,64,4420
459,0,4450
460,27,4441
461,2,4686
462,0,4872
463,1,4421
464,0,4422
465,0,4428
466,1,4409
467,0,4410
468,0,4427
469,0,4427
470,5,4381
471,0,4599
472,0,4373
473,0,4384
474,0,4378
475,0,4368
476,0,4720
477,0,4394
478,0,4370
479,0,4559
480,0,4376
481,0,4771
482,0,4367
483,0,4368
484,0,4374
485,0,4358
486,0,4343
487,0,4341
488,0,4555
489,0,4327
490,0,4346
491,0,4576
492,0,4357
493,0,4347
494,0,4349
495,1,4282
496,0,4293
497,0,4684
498,0,4307
499,12,4289
500,11,4278
501,53,4253
502,5,4223
503,17,4273
504,33,4294
505,7,4385
506,72,4460
507,144,4487
508,15,4547
509,0,4818
510,34,4665
511,58,4626
512,30,4681
513,209,4687
514,29,4743
515,29,4756
516,125,4743
517,33,4720
518,43,4723
519,39,4723
520,42,4663
521,30,4652
522,5,4620
523,10,4576
524,20,4533
525,4,4556
526,31,4552
527,4,4548
528,2,4532
529,62,4519
530,31,4593
531,5,4481
532,25,4478
533,38,4480
534,1,4599
535,13,4448
536,65,4451
537,0,4416
538,25,4371
539,29,4300
540,0,4273
541,26,4339
542,29,4378
543,0,4218
544,8,4230
545,16,4246
546,0,4240
547,49,4269
548,15,4307
549,0,4443
550,18,4355
551,0,4398
552,0,4402
553,1,4408
554,0,4420
555,0,4445
556,1,4720
557,0,4487
558,0,4521
559,0,4526
560,0,4518
561,0,4528
562,0,4511
563,0,4515
564,0,4523
565,0,4521
566,0,4520
567,0,4517
568,0,4534
569,38,4570
570,0,4787
571,0,4790
572,30,4618
573,0,5123
574,34,4625
575,32,4646
576,0,4655
577,39,4674
578,42,4716
579,2,4734
580,0,4772
581,73,4776
582,2,4774
583,52,4771
584,24,4792
585,1,4751
586,69,4754
587,42,4824
588,4,4784
589,123,4762
590,65,4817
591,3,4764
592,147,4743
593,60,4867
594,15,4835
595,113,4697
596,116,4724
597,0,4713
598,79,4757
599,97,4730
600,3,4728
601,59,4683
602,60,4648
603,10,4633
604,18,4589
605,24,4539
606,2,4522
607,17,4507
608,0,4533
609,9,4487
610,8,4465
611,6,4710
612,9,4452
613,6,4410
614,21,4509
615,0,4731
616,7,4529
617,13,4550
618,2,4573
619,12,4593
620,41,4536
621,6,4542
622,3,4594
623,16,4633
624,4,4635
625,1,4735
626,9,4715
