Frame Number,Moving Density,Queue Density
1,0,0
2,39,4412
3,30,4439
3825,0,0
4,12,4530
3826,0,5475
1913,0,0
5,17,4589
1914,203,3727
3827,0,5475
6,19,4622
1915,125,3804
3828,0,5471
7,7,4624
1916,154,3811
3829,0,5478
8,14,4673
1917,275,3798
3830,0,5474
9,43,4656
1918,104,3828
3831,0,5480
10,6,4672
1919,103,3801
3832,0,5479
11,7,4621
1920,197,3749
3833,0,5480
12,34,4579
1921,64,3733
3834,0,5485
13,17,4532
1922,54,3714
3835,0,5486
14,15,4452
1923,157,3758
15,97,4455
3836,0,5485
1924,48,3648
16,46,4440
3837,0,5488
1925,58,3582
17,3,4435
3838,0,5487
1926,132,3627
18,51,4452
3839,0,5482
1927,72,3733
19,1,4466
3840,0,5487
1928,75,3765
20,8,4421
3841,0,5492
1929,170,3762
21,87,4435
3842,0,5491
1930,33,3755
22,5,4478
3843,2,5459
1931,42,3867
23,28,4482
3844,0,5465
1932,125,3898
24,98,4495
3845,0,5470
1933,8,3900
25,26,4515
3846,0,5469
1934,37,3914
26,13,4479
3847,0,5474
1935,113,3915
27,65,4457
3848,0,5473
1936,9,3947
28,10,4460
3849,0,5484
1937,25,3939
29,20,4475
3850,0,5496
1938,145,3946
30,23,4483
3851,0,5490
31,29,4499
1939,38,3967
3852,0,5493
1940,16,3916
32,22,4448
3853,0,5501
1941,38,3929
33,0,4434
3854,0,5498
34,36,4447
1942,0,3857
3855,0,5498
35,27,4461
1943,15,3833
3856,0,5501
36,14,4453
1944,6,3890
3857,0,5491
37,31,4471
1945,42,3932
3858,0,5481
38,26,4461
1946,43,4005
3859,0,5489
39,44,4459
1947,10,4032
3860,0,5481
40,56,4460
1948,42,4169
3861,0,5488
41,62,4467
1949,19,4244
3862,0,5496
42,59,4493
1950,9,4315
3863,0,5500
43,30,4520
1951,14,4320
3864,0,5498
44,2,4524
1952,20,4340
3865,0,5495
45,54,4522
1953,4,4336
3866,0,5493
46,29,4543
1954,14,4312
3867,0,5500
47,13,4550
1955,26,4323
3868,0,5447
48,45,4577
1956,4,4332
3869,0,5456
49,12,4562
1957,1,4300
3870,0,5446
50,11,4586
1958,4,4286
3871,0,5455
51,3,4586
1959,3,4278
52,30,4595
3872,0,5465
1960,6,4224
53,44,4600
3873,0,5451
1961,0,4193
54,3,4597
3874,0,5458
1962,0,4195
55,54,4599
3875,0,5466
1963,0,4191
56,59,4620
3876,0,5471
1964,0,4189
57,1,4625
3877,0,5458
1965,0,4186
58,75,4625
3878,0,5456
1966,0,4182
59,80,4636
3879,0,5466
1967,0,4182
60,0,4623
1968,0,4182
3880,0,5467
61,67,4625
1969,0,4183
3881,4,5470
62,74,4643
1970,0,4191
3882,1,5452
63,0,4645
1971,0,4190
3883,0,5455
64,64,4633
1972,0,4185
3884,0,5458
65,65,4635
1973,0,4188
3885,0,5465
66,0,4642
1974,0,4189
3886,0,5455
67,71,4643
1975,0,4194
3887,0,5450
68,72,4636
1976,0,4193
3888,1,5457
69,0,4628
1977,0,4190
3889,0,5471
70,54,4620
1978,0,4187
3890,1,5472
71,67,4618
1979,0,4183
3891,0,5463
72,0,4616
1980,0,4188
3892,0,5468
73,61,4622
1981,0,4185
3893,0,5471
74,29,4604
1982,0,4184
3894,0,5469
75,0,4606
1983,0,4185
3895,0,5470
76,2,4626
1984,0,4220
77,7,4613
1985,0,4216
3896,0,5456
78,0,4624
1986,0,4219
3897,0,5465
79,0,4637
1987,0,4221
3898,2,5472
80,7,4636
1988,0,4224
3899,0,5477
81,0,4652
1989,0,4226
3900,0,5472
82,30,4658
1990,0,4224
3901,0,5484
83,35,4687
1991,0,4227
3902,0,5479
84,7,4717
1992,0,4224
3903,1,5486
85,22,4746
1993,0,4222
3904,1,5491
86,29,4716
1994,0,4225
3905,0,5489
87,26,4721
1995,0,4231
88,37,4759
1996,0,4245
3906,0,5498
89,25,4714
3907,0,5494
1997,0,4252
90,23,4693
3908,0,5490
1998,0,4247
91,11,4639
3909,0,5487
1999,7,4269
92,3,4586
3910,0,5485
2000,1,4349
93,12,4575
3911,0,5477
2001,1,4388
94,47,4573
3912,0,5497
2002,0,4495
95,27,4606
3913,0,5499
2003,6,4573
96,43,4647
3914,0,5503
2004,3,4627
97,31,4645
3915,1,5511
2005,12,4717
98,47,4676
3916,0,5514
99,41,4670
2006,29,4747
3917,0,5513
100,64,4673
2007,4,4749
3918,0,5439
101,64,4682
2008,20,4773
3919,0,5456
102,25,4686
2009,32,4752
103,59,4677
3920,0,5452
2010,8,4729
104,41,4674
3921,0,5461
2011,25,4753
105,25,4692
3922,0,5467
2012,31,4810
106,42,4703
3923,0,5468
2013,45,4837
107,47,4787
2014,20,4858
3924,0,5467
108,88,4791
3925,0,5467
2015,30,4900
109,48,4864
3926,0,5480
2016,152,4954
110,81,4924
3927,0,5480
2017,66,4957
111,70,4943
3928,1,5466
2018,8,4884
112,48,4974
3929,0,5474
2019,44,4812
113,35,4991
3930,0,5456
2020,29,4777
114,78,5000
3931,10,5457
2021,14,4736
