Frame Number,Moving Density,Queue Density
1,0,0
2,31,4446
3,38,4482
4,23,4547
5,32,4576
6,54,4643
7,14,4642
8,14,4691
9,43,4697
10,36,4666
11,20,4644
12,36,4522
13,29,4533
14,24,4402
15,87,4461
16,26,4453
17,6,4316
18,82,4321
19,24,4461
20,4,4387
21,75,4408
22,6,4243
23,22,4274
24,142,4278
25,16,4498
26,0,4298
27,92,4319
28,22,4331
29,36,4493
30,60,4351
31,24,4343
32,33,4444
33,5,4420
34,48,4432
35,31,4429
36,15,4441
37,44,4471
38,86,4339
39,34,4473
40,54,4467
41,55,4474
42,47,4479
43,24,4309
44,7,4523
45,2,4318
46,6,4307
47,17,4569
48,28,4571
49,7,4572
50,5,4588
51,1,4603
52,21,4593
53,34,4590
54,3,4599
55,0,4336
56,53,4605
57,0,4340
58,71,4601
59,76,4606
60,0,4603
61,62,4616
62,74,4622
63,0,4617
64,0,4358
65,0,4344
66,0,4352
67,69,4631
68,67,4628
69,0,4357
70,4,4324
71,67,4618
72,0,4619
73,0,4341
74,31,4610
75,0,4338
76,0,4332
77,5,4600
78,0,4327
79,0,4608
80,0,4313
81,0,4619
82,27,4639
83,24,4340
84,8,4690
85,18,4337
86,18,4325
87,25,4722
88,40,4744
89,21,4704
90,0,4344
91,6,4328
92,2,4336
93,10,4573
94,46,4530
95,23,4278
96,41,4610
97,29,4255
98,38,4269
99,9,4270
100,43,4282
101,74,4682
102,0,4275
103,66,4686
104,42,4666
105,26,4697
106,41,4715
107,46,4365
108,88,4399
109,47,4854
110,46,4551
111,71,4963
112,43,4984
113,49,4662
114,71,5003
115,99,5007
116,108,5018
117,78,5057
118,109,5077
119,126,5077
120,142,4738
121,57,4720
122,133,5015
123,83,4980
124,117,4954
125,110,4921
126,44,4598
127,59,4554
128,110,4528
129,0,4814
130,78,4538
131,124,4510
132,0,4784
133,63,4777
134,111,4784
135,1,4810
136,98,4481
137,72,4812
138,0,4801
139,86,4762
140,90,4430
141,0,4447
142,94,4446
143,142,4475
144,1,4815
145,104,4509
146,106,4504
147,0,4522
148,19,4802
149,7,4794
150,0,4771
151,2,4514
152,4,4490
153,0,4743
154,0,4501
155,0,4500
156,0,4499
157,0,4510
158,1,4707
159,0,4709
160,2,4487
161,8,4484
162,0,4497
163,0,4494
164,0,4463
165,0,4703
166,0,4464
167,0,4464
168,0,4454
169,2,4693
170,2,4437
171,0,4650
172,0,4634
173,10,4428
174,0,4430
175,0,4438
176,6,4425
177,0,4627
178,0,4416
179,0,4406
180,0,4424
181,10,4437
182,0,4453
183,0,4662
184,0,4667
185,10,4669
186,0,4445
187,0,4667
188,0,4472
189,0,4474
190,0,4460
191,0,4463
192,0,4443
193,0,4460
194,0,4460
195,0,4674
196,0,4680
197,0,4696
198,0,4678
199,0,4683
200,0,4493
201,0,4482
202,0,4495
203,0,4695
204,0,4696
205,0,4707
206,0,4506
207,0,4510
208,0,4694
209,0,4503
210,0,4494
211,0,4696
212,0,4689
213,0,4685
214,0,4499
215,0,4478
216,0,4678
217,0,4681
218,0,4474
219,0,4467
220,2,4659
221,0,4432
222,1,4653
223,0,4414
224,0,4647
225,0,4423
226,0,4648
227,0,4658
228,0,4427
229,0,4658
230,0,4428
231,0,4671
232,0,4665
233,0,4448
234,0,4453
235,8,4442
236,0,4665
237,0,4445
