Frame Number,Moving Density,Queue Density
1,0,0
2,6,4742
3,35,4494
4,9,4584
5,29,4643
6,18,4672
7,5,4664
8,3,4733
9,46,4710
10,10,4703
11,14,4861
12,6,4779
13,0,4715
14,10,4729
15,39,4736
16,42,4460
17,5,4473
18,6,4795
19,5,4517
20,0,4872
21,36,4903
22,6,4515
23,31,4925
24,93,4907
25,32,4554
26,13,4536
27,88,4886
28,14,4510
29,54,4873
30,24,4533
31,44,4916
32,44,4503
33,2,4486
34,37,4499
35,33,4509
36,15,4963
37,23,4532
38,21,4521
39,48,4526
40,63,4521
41,54,4525
42,61,4547
43,26,4571
44,7,4575
45,54,4555
46,31,4575
47,19,4580
48,77,4985
49,25,4594
50,45,4617
51,1,4626
52,50,5069
53,45,4647
54,5,4651
55,55,4664
56,65,4674
57,6,5314
58,78,4682
59,127,5217
60,0,4696
61,70,4692
62,75,4701
63,0,4701
64,68,4695
65,76,4694
66,0,4708
67,70,5008
68,212,5446
69,0,4698
70,59,4668
71,67,4656
72,0,4664
73,56,4665
74,32,4657
75,0,4661
76,4,4682
77,9,4672
78,0,4682
79,0,4698
80,6,4689
81,0,4712
82,26,4707
83,40,4746
84,10,4779
85,23,4814
86,0,5032
87,20,4785
88,34,4835
89,23,4776
90,0,5329
91,11,4707
92,4,4666
93,11,4632
94,9,5163
95,5,5246
96,56,4659
97,36,4683
98,31,5178
99,46,5197
100,71,4699
101,71,4700
102,37,4730
103,57,4699
104,52,5189
105,0,5210
106,32,4730
107,82,5226
108,85,4839
109,47,4895
110,0,5424
111,75,4989
112,81,5016
113,50,5063
114,82,5050
115,174,5684
116,109,5086
117,0,5444
118,104,5093
119,110,5116
120,86,5141
121,102,5130
122,162,5065
123,69,5054
124,125,5005
125,77,4976
126,20,4958
127,90,4903
128,204,5432
129,2,4877
130,103,4852
131,73,4852
132,0,4838
133,81,4844
134,90,5478
135,1,4899
136,45,5728
137,75,4898
138,0,5764
139,69,4868
140,67,4847
141,0,5204
142,98,4897
143,77,4926
144,2,4937
145,64,4898
146,71,4883
147,0,4864
148,28,4873
149,6,4852
150,0,4850
151,2,5424
152,0,5609
153,0,4818
154,2,4786
155,5,4794
156,0,4792
157,2,4798
158,1,5254
159,0,5267
160,0,4793
161,6,4764
162,0,5252
163,0,5268
164,0,5259
165,0,4785
166,1,5239
167,0,4783
168,0,5407
169,0,4776
170,2,5198
171,0,5308
172,0,5159
173,8,5113
174,0,5230
175,0,4676
176,2,4677
177,0,5249
178,1,4998
179,0,4691
180,0,5178
181,0,5384
182,0,5444
183,0,4731
184,0,4732
185,12,4729
186,0,4732
187,0,4711
188,0,4736
189,0,5459
190,0,5244
