Frame Number,Moving Density,Queue Density
1,0,0
2,39,4412
3,30,4439
2869,0,0
4,12,4530
2870,0,4572
5,17,4589
2871,1,4577
6,19,4622
2872,0,4572
7,7,4624
2873,0,4568
8,14,4673
2874,0,4558
9,43,4656
2875,0,4568
10,6,4672
2876,0,4579
11,7,4621
12,34,4579
2877,0,4571
13,17,4532
2878,0,4583
14,15,4452
2879,2,4568
15,97,4455
2880,1,4586
16,46,4440
2881,4,4581
17,3,4435
2882,1,4604
18,51,4452
2883,0,4594
19,1,4466
2884,2,4603
20,8,4421
2885,2,4595
21,87,4435
2886,19,4589
22,5,4478
2887,43,4597
23,28,4482
2888,6,4605
24,98,4495
2889,4,4606
25,26,4515
2890,44,4600
26,13,4479
2891,25,4605
27,65,4457
28,10,4460
2892,26,4603
29,20,4475
2893,56,4605
30,23,4483
2894,17,4613
31,29,4499
2895,10,4585
32,22,4448
2896,69,4594
33,0,4434
2897,30,4593
34,36,4447
2898,17,4593
35,27,4461
2899,58,4593
36,14,4453
2900,16,4575
37,31,4471
2901,11,4561
38,26,4461
2902,4,4572
39,44,4459
2903,20,4573
40,56,4460
2904,12,4572
41,62,4467
2905,0,4570
2906,20,4576
42,59,4493
2907,12,4589
43,30,4520
2908,0,4582
44,2,4524
2909,3,4582
45,54,4522
2910,25,4591
46,29,4543
2911,0,4604
47,13,4550
2912,20,4587
48,45,4577
2913,17,4585
49,12,4562
2914,0,4587
50,11,4586
51,3,4586
2915,11,4589
52,30,4595
2916,13,4602
53,44,4600
2917,0,4592
54,3,4597
2918,6,4578
55,54,4599
2919,3,4552
56,59,4620
2920,0,4559
57,1,4625
2921,0,4569
58,75,4625
2922,0,4562
59,80,4636
2923,0,4565
60,0,4623
2924,3,4575
61,67,4625
2925,0,4566
62,74,4643
2926,2,4564
63,0,4645
2927,0,4561
64,64,4633
2928,0,4562
65,65,4635
2929,0,4568
66,0,4642
2930,1,4582
67,71,4643
2931,1,4584
68,72,4636
2932,8,4598
69,0,4628
2933,0,4565
70,54,4620
2934,0,4548
71,67,4618
2935,0,4513
72,0,4616
2936,0,4493
73,61,4622
2937,0,4490
74,29,4604
2938,0,4489
75,0,4606
2939,0,4474
76,2,4626
2940,0,4481
77,7,4613
2941,0,4468
78,0,4624
79,0,4637
2942,2,4469
80,7,4636
2943,0,4470
81,0,4652
2944,7,4481
82,30,4658
2945,11,4501
83,35,4687
2946,36,4535
84,7,4717
2947,65,4537
85,22,4746
2948,64,4565
86,29,4716
2949,95,4611
87,26,4721
2950,70,4625
88,37,4759
2951,130,4654
89,25,4714
2952,148,4675
90,23,4693
2953,28,4670
91,11,4639
2954,208,4669
92,3,4586
2955,211,4694
93,12,4575
2956,31,4711
94,47,4573
2957,214,4743
95,27,4606
2958,212,4731
96,43,4647
2959,67,4734
97,31,4645
2960,229,4704
98,47,4676
2961,230,4708
99,41,4670
2962,48,4732
100,64,4673
2963,233,4758
101,64,4682
2964,200,4759
102,25,4686
2965,57,4776
103,59,4677
2966,223,4787
104,41,4674
2967,167,4763
105,25,4692
2968,11,4769
106,42,4703
2969,235,4751
107,47,4787
2970,218,4739
108,88,4791
2971,10,4714
109,48,4864
2972,209,4681
110,81,4924
2973,264,4699
111,70,4943
2974,5,4691
112,48,4974
2975,236,4720
113,35,4991
2976,232,4727
114,78,5000
2977,5,4731
115,96,5018
2978,270,4711
116,103,5027
2979,257,4704
117,85,5072
2980,7,4712
118,111,5074
2981,241,4743
119,102,5079
2982,253,4754
120,94,5095
121,98,5065
2983,5,4746
122,119,5033
2984,272,4718
123,60,5003
2985,219,4661
124,115,4960
2986,0,4650
125,92,4928
2987,247,4661
126,37,4942
2988,299,4590
127,88,4877
2989,29,4566
128,139,4835
2990,315,4516
129,1,4822
2991,278,4467
130,105,4823
2992,48,4492
131,70,4807
2993,333,4505
132,0,4804
2994,298,4564
133,67,4822
2995,105,4587
134,78,4828
2996,281,4668
135,0,4834
2997,199,4708
136,109,4865
2998,121,4749
137,70,4872
2999,204,4814
138,0,4829
3000,184,4853
139,64,4805
3001,39,4853
140,62,4805
3002,147,4830
141,0,4825
3003,116,4829
142,102,4861
3004,49,4842
143,82,4888
3005,59,4871
144,0,4894
3006,45,4795
145,55,4891
3007,71,4792
146,73,4868
3008,72,4803
147,0,4866
3009,15,4783
148,23,4845
3010,3,4757
149,5,4837
3011,6,4778
150,0,4814
3012,30,4770
151,0,4803
3013,5,4774
152,3,4773
3014,19,4761
153,0,4772
3015,21,4756
154,1,4750
3016,14,4722
155,7,4755
3017,13,4674
156,0,4752
157,2,4769
3018,23,4694
158,1,4746
3019,3,4685
159,0,4744
3020,26,4662
160,0,4744
3021,24,4649
161,7,4737
3022,3,4661
162,0,4729
3023,16,4624
163,0,4735
3024,30,4576
164,0,4732
3025,1,4544
165,0,4742
3026,49,4503
166,1,4728
3027,52,4499
167,0,4750
3028,0,4461
168,0,4755
3029,32,4377
169,0,4749
3030,42,4352
170,1,4698
3031,7,4349
171,0,4691
3032,36,4388
172,0,4687
3033,42,4408
