Frame Number,Moving Density,Queue Density
1,0,0
2,39,4412
3,30,4439
2295,0,0
4,12,4530
2296,49,3883
1148,0,0
5,17,4589
2297,41,3894
4589,0,0
6,19,4622
1149,0,4918
3442,0,0
2298,24,4013
7,7,4624
4590,268,4607
1150,0,4913
3443,0,5292
8,14,4673
2299,90,4049
4591,272,4596
1151,0,4907
3444,0,5293
9,43,4656
2300,23,4165
1152,0,4907
4592,302,4655
3445,0,5294
10,6,4672
2301,46,4231
1153,0,4917
4593,254,4620
11,7,4621
3446,0,5296
2302,58,4230
1154,0,4918
12,34,4579
4594,226,4608
3447,0,5299
2303,2,4211
1155,0,4917
13,17,4532
4595,431,4535
3448,0,5301
2304,8,4217
1156,0,4917
14,15,4452
4596,286,4544
2305,41,4243
3449,0,5304
1157,0,4902
15,97,4455
4597,264,4576
2306,3,4206
1158,0,4906
16,46,4440
3450,0,5304
2307,2,4193
4598,391,4573
1159,0,4901
17,3,4435
2308,72,4213
3451,0,5309
1160,0,4915
18,51,4452
2309,7,4194
4599,338,4514
1161,0,4904
3452,0,5309
19,1,4466
2310,27,4193
4600,209,4553
1162,0,4920
20,8,4421
2311,57,4195
3453,0,5309
1163,0,4934
21,87,4435
4601,230,4599
2312,19,4185
1164,0,4945
22,5,4478
3454,0,5310
2313,11,4270
4602,243,4626
1165,0,4946
23,28,4482
2314,36,4302
3455,0,5305
4603,210,4618
1166,0,4938
24,98,4495
2315,17,4327
3456,0,5319
25,26,4515
1167,0,4938
2316,9,4314
4604,143,4598
3457,0,5326
1168,0,4947
26,13,4479
2317,30,4297
4605,169,4512
3458,0,5330
1169,0,4940
27,65,4457
2318,5,4262
4606,163,4492
3459,0,5331
1170,0,4947
28,10,4460
4607,188,4495
2319,9,4245
1171,0,4947
4608,162,4356
3460,0,5289
29,20,4475
2320,55,4253
1172,0,4949
4609,72,4350
3461,0,5296
30,23,4483
2321,12,4244
1173,0,4951
4610,168,4287
3462,0,5295
31,29,4499
2322,16,4239
1174,0,4946
32,22,4448
4611,227,4263
2323,64,4225
1175,0,4939
3463,0,5296
33,0,4434
2324,0,4229
1176,0,4939
4612,44,4243
34,36,4447
3464,2,5290
2325,2,4227
1177,0,4917
35,27,4461
4613,156,4224
1178,0,4924
2326,26,4258
36,14,4453
3465,0,5284
4614,144,4125
1179,0,4924
37,31,4471
2327,10,4303
3466,0,5285
1180,0,4931
2328,19,4274
38,26,4461
4615,52,4111
1181,0,4939
2329,9,4223
3467,0,5291
39,44,4459
4616,130,4090
1182,0,4931
2330,22,4211
40,56,4460
1183,0,4948
3468,0,5288
2331,14,4218
41,62,4467
4617,182,4044
1184,8,4852
3469,0,5296
2332,45,4218
42,59,4493
4618,18,4041
1185,0,4857
3470,0,5296
43,30,4520
2333,23,4229
4619,242,4023
1186,0,4847
3471,0,5306
44,2,4524
4620,208,3995
2334,47,4215
1187,0,4844
45,54,4522
4621,18,3966
3472,0,5313
2335,31,4237
1188,0,4843
46,29,4543
4622,88,3886
3473,0,5316
2336,7,4221
1189,0,4854
47,13,4550
4623,130,3983
2337,15,4248
3474,0,5326
1190,0,4863
48,45,4577
4624,15,3989
2338,50,4256
3475,0,5323
1191,0,4859
49,12,4562
4625,159,3991
2339,3,4255
3476,0,5318
1192,0,4859
50,11,4586
4626,138,4008
2340,1,4282
3477,0,5328
1193,0,4856
51,3,4586
4627,13,4025
2341,18,4273
3478,0,5326
1194,0,4864
52,30,4595
4628,186,4105
2342,1,4268
3479,0,5332
1195,0,4885
53,44,4600
4629,213,4225
2343,0,4279
1196,0,4870
3480,0,5327
54,3,4597
4630,114,4311
1197,0,4870
2344,1,4280
4631,300,4420
55,54,4599
1198,0,4875
3481,0,5332
4632,339,4525
56,59,4620
2345,0,4285
1199,0,4875
4633,110,4580
57,1,4625
3482,0,5332
1200,0,4875
2346,4,4285
4634,330,4653
58,75,4625
1201,0,4863
3483,0,5335
4635,299,4728
2347,11,4276
59,80,4636
1202,0,4863
3484,0,5333
2348,0,4275
4636,107,4793
1203,0,4872
60,0,4623
3485,0,5324
2349,1,4268
1204,0,4866
4637,330,4786
61,67,4625
3486,0,5333
1205,0,4878
62,74,4643
2350,8,4271
4638,298,4776
3487,0,5343
1206,0,4885
63,0,4645
2351,0,4265
4639,59,4735
3488,0,5343
1207,0,4874
64,64,4633
2352,0,4246
4640,297,4660
3489,0,5334
1208,0,4879
65,65,4635
2353,0,4259
4641,404,4575
3490,0,5337
1209,1,4870
66,0,4642
2354,0,4265
4642,96,4579
3491,0,5340
1210,0,4877
67,71,4643
2355,0,4251
4643,247,4697
3492,0,5334
1211,0,4883
68,72,4636
2356,0,4270
4644,203,4752
3493,0,5338
1212,0,4876
69,0,4628
2357,1,4231
4645,79,4751
3494,0,5342
1213,0,4866
70,54,4620
2358,0,4208
4646,200,4694
1214,0,4872
3495,0,5340
71,67,4618
2359,0,4214
4647,181,4646
1215,0,4873
3496,0,5343
2360,0,4231
72,0,4616
4648,109,4628
1216,0,4873
3497,0,5348
2361,0,4265
73,61,4622
