Frame Number,Moving Density,Queue Density
1,0,0
2,39,4412
3,30,4439
4303,0,0
4,12,4530
2869,0,0
4304,571,4993
5,17,4589
1435,0,0
2870,0,4572
4305,583,4983
6,19,4622
4306,82,4968
7,7,4624
1436,2,4781
2871,1,4577
4307,503,4886
8,14,4673
1437,0,4777
2872,0,4572
4308,657,4811
9,43,4656
1438,0,4779
2873,0,4568
4309,82,4740
10,6,4672
1439,0,4803
2874,0,4558
4310,525,4662
11,7,4621
1440,0,4792
2875,0,4568
4311,404,4525
12,34,4579
1441,0,4818
2876,0,4579
13,17,4532
4312,87,4490
1442,0,4797
2877,0,4571
14,15,4452
4313,584,4439
1443,0,4798
2878,0,4583
15,97,4455
4314,582,4438
1444,0,4812
16,46,4440
2879,2,4568
4315,182,4403
1445,0,4856
17,3,4435
2880,1,4586
4316,595,4340
1446,0,4841
2881,4,4581
18,51,4452
4317,673,4391
2882,1,4604
1447,0,4789
4318,188,4372
19,1,4466
2883,0,4594
1448,0,4841
4319,512,4407
20,8,4421
1449,0,4837
2884,2,4603
4320,490,4371
21,87,4435
1450,1,4832
2885,2,4595
22,5,4478
4321,134,4345
1451,0,4843
4322,493,4422
2886,19,4589
23,28,4482
1452,0,4847
4323,445,4472
2887,43,4597
24,98,4495
1453,0,4853
4324,124,4439
2888,6,4605
25,26,4515
1454,0,4837
4325,506,4418
2889,4,4606
26,13,4479
1455,2,4846
4326,548,4467
2890,44,4600
27,65,4457
1456,0,4852
4327,96,4429
2891,25,4605
28,10,4460
1457,0,4855
4328,485,4403
2892,26,4603
29,20,4475
1458,0,4827
4329,517,4433
2893,56,4605
30,23,4483
4330,71,4438
1459,0,4847
2894,17,4613
31,29,4499
4331,468,4385
1460,5,4842
2895,10,4585
32,22,4448
4332,356,4338
1461,1,4859
2896,69,4594
33,0,4434
4333,55,4309
1462,1,4871
2897,30,4593
34,36,4447
4334,337,4304
1463,0,4909
2898,17,4593
35,27,4461
4335,331,4178
36,14,4453
1464,1,4931
4336,60,4134
2899,58,4593
37,31,4471
4337,315,4077
1465,0,4937
2900,16,4575
38,26,4461
4338,279,4032
2901,11,4561
1466,11,4926
39,44,4459
4339,48,4004
1467,0,4947
2902,4,4572
40,56,4460
4340,296,3946
1468,9,4957
41,62,4467
2903,20,4573
4341,328,3841
1469,8,4953
42,59,4493
2904,12,4572
4342,52,3792
1470,0,4907
43,30,4520
2905,0,4570
4343,227,3797
1471,10,4899
44,2,4524
2906,20,4576
4344,270,3705
1472,16,4905
45,54,4522
2907,12,4589
4345,56,3754
1473,8,4942
46,29,4543
2908,0,4582
4346,312,3741
1474,36,4932
47,13,4550
2909,3,4582
4347,359,3781
1475,39,4911
48,45,4577
2910,25,4591
4348,69,3793
1476,1,4903
49,12,4562
2911,0,4604
4349,265,3959
1477,31,4860
50,11,4586
2912,20,4587
4350,279,4015
1478,65,4855
51,3,4586
2913,17,4585
4351,55,4041
1479,0,4836
52,30,4595
2914,0,4587
4352,231,4079
53,44,4600
1480,14,4751
2915,11,4589
4353,218,4111
54,3,4597
1481,57,4699
2916,13,4602
4354,49,4092
55,54,4599
1482,2,4650
2917,0,4592
4355,205,4119
56,59,4620
1483,60,4596
2918,6,4578
57,1,4625
1484,78,4557
4356,186,4116
2919,3,4552
58,75,4625
1485,0,4522
4357,68,4142
2920,0,4559
59,80,4636
1486,98,4485
4358,207,4056
2921,0,4569
60,0,4623
1487,112,4418
4359,184,4051
2922,0,4562
61,67,4625
1488,6,4363
4360,110,3957
2923,0,4565
62,74,4643
1489,77,4308
4361,233,3956
2924,3,4575
63,0,4645
1490,96,4249
4362,180,4023
64,64,4633
2925,0,4566
1491,0,4206
4363,93,4063
2926,2,4564
65,65,4635
1492,84,4139
4364,236,4019
2927,0,4561
66,0,4642
1493,132,4145
4365,275,4011
2928,0,4562
67,71,4643
1494,0,4160
4366,138,4015
2929,0,4568
68,72,4636
1495,152,4089
4367,195,4046
2930,1,4582
69,0,4628
1496,166,4083
4368,158,3968
2931,1,4584
70,54,4620
1497,3,4138
4369,154,3894
2932,8,4598
71,67,4618
1498,130,4145
4370,120,3870
2933,0,4565
72,0,4616
1499,180,4157
4371,149,3863
2934,0,4548
73,61,4622
1500,4,4182
4372,122,3845
74,29,4604
2935,0,4513
1501,158,4218
4373,141,3846
2936,0,4493
75,0,4606
1502,115,4300
4374,170,3778
2937,0,4490
76,2,4626
1503,1,4285
4375,138,3791
77,7,4613
2938,0,4489
1504,58,4320
4376,129,3824
78,0,4624
2939,0,4474
1505,108,4314
4377,110,3838
79,0,4637
2940,0,4481
1506,0,4351
4378,123,3845
80,7,4636
2941,0,4468
1507,118,4375
4379,137,3763
81,0,4652
2942,2,4469
1508,66,4374
4380,204,3696
82,30,4658
2943,0,4470
1509,4,4405
83,35,4687
4381,107,3713
2944,7,4481
1510,71,4429
84,7,4717
4382,181,3746
2945,11,4501
1511,86,4440
85,22,4746
4383,214,3813
2946,36,4535
86,29,4716
1512,8,4466
4384,58,3877
2947,65,4537
87,26,4721
4385,169,3904
